Time(s)	Displ(microns)	Friction	Normal_stress(MPa)
11745.595000	10020.241000	0.608490	19.956520
11745.596000	10019.595000	0.608736	19.960601
11745.597000	10019.699000	0.608044	19.964263
11745.598000	10019.491000	0.608322	19.955650
11745.599000	10020.523000	0.608294	19.950699
11745.600000	10020.380000	0.608277	19.956001
11745.601000	10019.679000	0.608230	19.959403
11745.602000	10019.870000	0.608122	19.957656
11745.603000	10020.323000	0.608217	19.962813
11745.604000	10019.949000	0.608940	19.957321
11745.605000	10020.575000	0.608215	19.973554
11745.606000	10020.724000	0.608049	19.972189
11745.607000	10020.899000	0.608057	19.961554
11745.608000	10021.293000	0.608034	19.968245
11745.609000	10021.373000	0.608536	19.959098
11745.610000	10021.588000	0.608504	19.960746
11745.611000	10022.028000	0.608512	19.960708
11745.612000	10021.261000	0.609009	19.963279
11745.613000	10021.599000	0.609400	19.959045
11745.614000	10021.930000	0.609364	19.945565
11745.615000	10022.253000	0.609056	19.949738
11745.616000	10021.987000	0.609194	19.939546
11745.617000	10021.975000	0.608309	19.948922
11745.618000	10021.957000	0.608055	19.952095
11745.619000	10022.276000	0.608672	19.939280
11745.620000	10021.680000	0.608479	19.941523
11745.621000	10021.934000	0.607709	19.945405
11745.622000	10022.403000	0.607807	19.951302
11745.623000	10022.482000	0.607560	19.948556
11745.624000	10022.348000	0.607723	19.950684
11745.625000	10022.654000	0.607800	19.956276
11745.626000	10022.505000	0.607162	19.968519
11745.627000	10022.403000	0.607451	19.970220
11745.628000	10022.343000	0.607515	19.966139
11745.629000	10022.962000	0.607307	19.969190
11745.630000	10023.350000	0.607244	19.966460
11745.631000	10022.025000	0.607277	19.974500
11745.632000	10023.039000	0.607392	19.979496
11745.633000	10023.404000	0.608176	19.964652
11745.634000	10023.692000	0.608355	19.960845
11745.635000	10023.696000	0.608673	19.960868
11745.636000	10023.367000	0.608664	19.957977
11745.637000	10023.782000	0.608694	19.959540
11745.638000	10023.748000	0.608815	19.951370
11745.639000	10024.010000	0.609511	19.946366
11745.640000	10023.919000	0.609363	19.936495
